PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Gender,Age_Imputed,Title,FamilySize,IsAlone,CabinDeck,TicketCount,Fare_outlier,Fare_capped,AgeGroup,Embarked_filled,Age_clean,Gender_num
1,0,3,male,22.0,1,0,7.25,S,0,22.0,,2,False,U,1,False,7.25,YoungAdult,S,22.0,
2,1,1,female,38.0,1,0,71.2833,C,1,38.0,,2,False,C,1,False,71.2833,Adult,C,38.0,
3,1,3,female,26.0,0,0,7.925,S,1,26.0,,1,True,U,1,False,7.925,YoungAdult,S,26.0,
4,1,1,female,35.0,1,0,53.1,S,1,35.0,,2,False,C,2,False,53.1,Adult,S,35.0,
5,0,3,male,35.0,0,0,8.05,S,0,35.0,,1,True,U,1,False,8.05,Adult,S,35.0,
6,0,3,male,,0,0,8.4583,Q,0,25.0,,1,True,U,1,False,8.4583,YoungAdult,Q,25.0,
7,0,1,male,54.0,0,0,51.8625,S,0,54.0,,1,True,E,1,False,51.8625,Adult,S,54.0,
8,0,3,male,2.0,3,1,21.075,S,0,2.0,,5,False,U,4,False,21.075,Child,S,2.0,
9,1,3,female,27.0,0,2,11.1333,S,1,27.0,,3,False,U,3,False,11.1333,YoungAdult,S,27.0,
10,1,2,female,14.0,1,0,30.0708,C,1,14.0,,2,False,U,2,False,30.0708,Teen,C,14.0,
11,1,3,female,4.0,1,1,16.7,S,1,4.0,,3,False,G,2,False,16.7,Child,S,4.0,
12,1,1,female,58.0,0,0,26.55,S,1,58.0,,1,True,C,1,False,26.55,Adult,S,58.0,
13,0,3,male,20.0,0,0,8.05,S,0,20.0,,1,True,U,1,False,8.05,YoungAdult,S,20.0,
14,0,3,male,39.0,1,5,31.275,S,0,39.0,,7,False,U,7,False,31.275,Adult,S,39.0,
15,0,3,female,14.0,0,0,7.8542,S,1,14.0,,1,True,U,1,False,7.8542,Teen,S,14.0,
16,1,2,female,55.0,0,0,16.0,S,1,55.0,,1,True,U,1,False,16.0,Adult,S,55.0,
17,0,3,male,2.0,4,1,29.125,Q,0,2.0,,6,False,U,5,False,29.125,Child,Q,2.0,
18,1,2,male,,0,0,13.0,S,0,30.0,,1,True,U,1,False,13.0,Adult,S,30.0,
19,0,3,female,31.0,1,0,18.0,S,1,31.0,,2,False,U,1,False,18.0,Adult,S,31.0,
20,1,3,female,,0,0,7.225,C,1,21.5,,1,True,U,1,False,7.225,YoungAdult,C,21.5,
21,0,2,male,35.0,0,0,26.0,S,0,35.0,,1,True,U,2,False,26.0,Adult,S,35.0,
22,1,2,male,34.0,0,0,13.0,S,0,34.0,,1,True,D,1,False,13.0,Adult,S,34.0,
23,1,3,female,15.0,0,0,8.0292,Q,1,15.0,,1,True,U,1,False,8.0292,Teen,Q,15.0,
24,1,1,male,28.0,0,0,35.5,S,0,28.0,,1,True,A,1,False,35.5,YoungAdult,S,28.0,
25,0,3,female,8.0,3,1,21.075,S,1,8.0,,5,False,U,4,False,21.075,Child,S,8.0,
26,1,3,female,38.0,1,5,31.3875,S,1,38.0,,7,False,U,4,False,31.3875,Adult,S,38.0,
27,0,3,male,,0,0,7.225,C,0,25.0,,1,True,U,1,False,7.225,YoungAdult,C,25.0,
28,0,1,male,19.0,3,2,263.0,S,0,19.0,,6,False,C,4,True,249.00622000000035,YoungAdult,S,19.0,
29,1,3,female,,0,0,7.8792,Q,1,21.5,,1,True,U,1,False,7.8792,YoungAdult,Q,21.5,
30,0,3,male,,0,0,7.8958,S,0,25.0,,1,True,U,1,False,7.8958,YoungAdult,S,25.0,
31,0,1,male,40.0,0,0,27.7208,C,0,40.0,,1,True,U,1,False,27.7208,Adult,C,40.0,
32,1,1,female,,1,0,146.5208,C,1,35.0,,2,False,B,2,False,146.5208,Adult,C,35.0,
33,1,3,female,,0,0,7.75,Q,1,21.5,,1,True,U,1,False,7.75,YoungAdult,Q,21.5,
34,0,2,male,66.0,0,0,10.5,S,0,66.0,,1,True,U,1,False,10.5,Senior,S,66.0,
35,0,1,male,28.0,1,0,82.1708,C,0,28.0,,2,False,U,2,False,82.1708,YoungAdult,C,28.0,
36,0,1,male,42.0,1,0,52.0,S,0,42.0,,2,False,U,2,False,52.0,Adult,S,42.0,
37,1,3,male,,0,0,7.2292,C,0,25.0,,1,True,U,1,False,7.2292,YoungAdult,C,25.0,
38,0,3,male,21.0,0,0,8.05,S,0,21.0,,1,True,U,1,False,8.05,YoungAdult,S,21.0,
39,0,3,female,18.0,2,0,18.0,S,1,18.0,,3,False,U,2,False,18.0,YoungAdult,S,18.0,
40,1,3,female,14.0,1,0,11.2417,C,1,14.0,,2,False,U,2,False,11.2417,Teen,C,14.0,
41,0,3,female,40.0,1,0,9.475,S,1,40.0,,2,False,U,1,False,9.475,Adult,S,40.0,
42,0,2,female,27.0,1,0,21.0,S,1,27.0,,2,False,U,2,False,21.0,YoungAdult,S,27.0,
43,0,3,male,,0,0,7.8958,C,0,25.0,,1,True,U,1,False,7.8958,YoungAdult,C,25.0,
44,1,2,female,3.0,1,2,41.5792,C,1,3.0,,4,False,U,3,False,41.5792,Child,C,3.0,
45,1,3,female,19.0,0,0,7.8792,Q,1,19.0,,1,True,U,1,False,7.8792,YoungAdult,Q,19.0,
